stop_lat,stop_lon,Aktuelle Uhrzeit,Wochentag,Feiertag,Anzahl Haltestellen,Anzahl Baustellen,Haltestelle,currentSpeed,freeFlowSpeed,Durchschnittliche Verkehrsauslastung in %
53.073972,8.852545,20:12:28,Saturday,0,39.0,1.0,Bremen Stader Straße/Bismarckstraße,16.0,16.0,0.0
53.082482,8.837204,20:12:28,Saturday,0,32.0,0.0,Bremen St. Joseph-Stift,27.0,34.0,0.2059
53.143057,8.714654,20:12:28,Saturday,0,58.0,1.0,Bremen Mittelsbürener Landstraße,44.0,44.0,0.0
53.126404,8.747009,20:12:28,Saturday,0,58.0,1.0,Bremen DIAKO Bremen,48.0,48.0,0.0
53.183024,8.579728,20:12:28,Saturday,0,58.0,1.0,Bremen Bahnhof Blumenthal,35.0,45.0,0.2222
53.17448,8.618157,20:12:28,Saturday,0,48.0,2.0,Bremen Gustav-Heinemann-Bürgerhaus,26.0,35.0,0.2571
53.057907,8.95105,20:12:28,Saturday,0,16.0,0.0,Bremen Osterholzer Möhlendamm,32.0,43.0,0.2558
53.053257,8.962122,20:12:28,Saturday,0,44.0,0.0,Bremen Werner-Steenken-Straße,30.0,40.0,0.25
53.05985,8.914326,20:12:28,Saturday,0,16.0,0.0,Bremen Osterholzer Friedhof,47.0,47.0,0.0
53.059469,8.899647,20:12:28,Saturday,0,29.0,1.0,Bremen Sebaldsbrück (Bus+Tram),48.0,48.0,0.0
53.076869,8.837379,20:12:28,Saturday,0,39.0,1.0,Bremen Klinikum Bremen-Mitte,42.0,42.0,0.0
53.06431,8.877295,20:12:28,Saturday,0,29.0,1.0,Bremen Föhrenstraße,19.0,23.0,0.1739
53.049065,8.960619,20:12:28,Saturday,0,44.0,0.0,Bremen Weserpark,33.0,46.0,0.2826
53.069665,8.787596,20:12:28,Saturday,0,53.0,0.0,Bremen Pappelstraße,24.0,30.0,0.2
53.066421,8.793695,20:12:28,Saturday,0,25.0,0.0,Bremen Gastfeldstraße,31.0,31.0,0.0
