"agency_id","agency_name","agency_url","agency_timezone","agency_lang","agency_phone"
66,"Stadtwerke Verkehrsbetriebe Wilhelmshaven GmbH","http://www.swwv.de/verkehrsbetrieb.html","Europe/Berlin","de","+49 4421 291257"
81,"Stadtwerke Osnabrück AG - Verkehrsbetriebe","http://www.stadtwerke-osnabrueck.de","Europe/Berlin","de","+49 541 20022211"
106,"Verkehr und Wasser GmbH (VWG)","http://www.vwg.de/","Europe/Berlin","de","+49 441 93660"
121,"Delmenhorst-Harpstedter Eisenbahn GmbH","http://www.dhe-reisen.de/","Europe/Berlin","de","+49 4244 93550"
123,"BUSPUNKT GmbH","https://buspunkt.net/startseite","Europe/Berlin","de","+49 4748 94900"
124,"Eisenbahnen und Verkehrsbetriebe Elbe-Weser GmbH","http://www.evb-elbe-weser.de/","Europe/Berlin","de","+49 4281 9440"
126,"W. Giese Nachf. Omnibusbetrieb GmbH","http://www.giese-bus.de/","Europe/Berlin","de","+49 4747 7464000"
133,"Reisedienst von Rahden GmbH & Co. KG","http://www.von-rahden.de/","Europe/Berlin","de","+49 4209 91620"
134,"Regionalbus Braunschweig GmbH","http://www.rbb-bus.de/","Europe/Berlin","de","+49 551 998099"
135,"RegioBus Hannover GmbH","http://www.regiobus.de/","Europe/Berlin","de","+49 511 36888715"
136,"Schaumburger Verkehrs-Gesellschaft mbH","http://www.svg-schaumburg.de/","Europe/Berlin","de","+49 5721 830050"
137,"Autobus Stoss GmbH","http://www.stoss-busreisen.de/","Europe/Berlin","de","+49 4761 93940"
138,"Fass Reisen","https://www.fass-reisen.de/","Europe/Berlin","de","+49 4421 84360"
140,"Bruns Reisen GmbH Varel","http://www.reise-freunde.de/reisefreunde/index.php/linienverkehr.html","Europe/Berlin","de","+49 4451 924100"
143,"Hermann Edzards Omnibusbetrieb","http://www.edzards-reisen.de/","Europe/Berlin","de","+49 4971 92580"
146,"Verkehrsgemeinschaft Emsland-Süd","http://www.vge-emsland-sued.de/","Europe/Berlin","de","+49 591 9610010"
148,"Verkehrsbetriebe Grafschaft Hoya GmbH","http://www.vgh-hoya.de/","Europe/Berlin","de","+49 4251 93550"
150,"Kreisbahn Aurich GmbH","http://www.kreisbahn-aurich.de/","Europe/Berlin","de","+49 4941 95600"
152,"Jacobs Reisedienst","http://www.jacobs-reisedienst.de/","Europe/Berlin","de","+49 4936 9178890"
153,"Vonau Reisedienst GmbH & Co. KG","https://www.vonau-masemann.de/","Europe/Berlin","","+49 4205 31666"
154,"AllerBus","http://www.allerbus.de/","Europe/Berlin","de","+49 4231 92270"
176,"Stadtwerke Emden GmbH","http://www.stadtwerke-emden.de/stadtverkehr.html","Europe/Berlin","de","+49 4921 830"
216,"Delbus GmbH & Co. KG","http://www.delbus.de/","Europe/Berlin","de","+49 4221 919293"
218,"BREMERHAVEN BUS","http://www.bremerhavenbus.de/","Europe/Berlin","de","+49 471 30030"
219,"Verkehrsbetriebe Wesermarsch GmbH","http://www.vbw-wesermarsch.jimdo.com/","Europe/Berlin","de","+49 4731 8640"
221,"KVG Stade GmbH & Co. KG","http://www.kvg-bus.de/","Europe/Berlin","de","+49 4141 525225"
226,"Göttinger Verkehrsbetriebe (GöVB)","http://www.goevb.de/","Europe/Berlin","de","+49 551 38444444"
231,"Braunschweiger Verkehrs-GmbH","http://www.verkehr-bs.de/","Europe/Berlin","de","+49 531 28639555"
253,"Verkehrsgesellschaft Ludwigslust-Parchim mbH","https://www.vlp-lup.de/","Europe/Berlin","de","+49 3883 616161"
257,"Lkr. Emsland","http://www.vej-info.de/","Europe/Berlin","de","+49 5931 933633"
259,"Verkehrsgemeinschaft Grafschaft Bentheim","http://www.vgb-mob.de/","Europe/Berlin","de","+49 5921 80350"
266,"Weserfähre GmbH","http://www.weserfaehre.de/","Europe/Berlin","de","+49 471 3003600"
271,"Kraftverkehrsgesellschaft Hameln mbH","http://www.oeffis.de/","Europe/Berlin","de","+49 5151 788900"
286,"CeBus GmbH & Co. KG","http://www.cebus-celle.de/","Europe/Berlin","de","+49 5141 487080"
326,"Bremer Straßenbahn AG","http://www.bsag.de/","Europe/Berlin","de","+49 421 55960"
381,"Gerdes Reisen","http://www.gerdes-reisen.de/","Europe/Berlin","de","+49 4409 92890"
386,"Fischer Linienverkehre GmbH & Co. KG","http://www.fischer-linienverkehre.de/","Europe/Berlin","de","+49 491 9196480"
396,"Reisedienst Hinrich Uffen","http://www.uffen-reisen.de/","Europe/Berlin","de","+49 4924 401"
401,"Verkehrsbetriebe des Landkreises Leer GmbH","http://www.vll-reisen.de/?page=linien","Europe/Berlin","de","+49 4952 39700"
402,"Borkumer Kleinbahn","http://www.borkumer-kleinbahn.de/","Europe/Berlin","de","+49 4922 3090"
403,"Tjaden Nahverkehrs GmbH","http://www.inselbus-tjaden.de/","Europe/Berlin","de","+49 4932 9131312"
411,"Ert Wissmann Omnibusbetrieb GmbH","http://www.vej-bus.de/verkehrsunternehmen.php","Europe/Berlin","de","+49 4489 1888"
546,"Kraftverkehrsgesellschaft mbH Braunschweig","http://www.kvg-braunschweig.de/","Europe/Berlin","de","+49 5341 40990"
547,"Peiner Verkehrsgesellschaft mbH","http://pvg-peine.de/","Europe/Berlin","de","+49 5171 5069970"
548,"Stadtbus Goslar GmbH","http://www.stadtbus-goslar.de/","Europe/Berlin","de","+49 5321 5530"
549,"Verkehrsgesellschaft Landkreis Gifhorn mbH","http://www.vlg-gifhorn.de/","Europe/Berlin","de","+49 5371 9902220"
550,"Wolfsburger Verkehrs-GmbH","http://www.wvg.de/","Europe/Berlin","de","+49 5361 1898888"
551,"Landkreis Wolfenbüttel","http://www.vrb-online.de/","Europe/Berlin","de","+49 5331 884222"
552,"RVHI Regionalverkehr Hildesheim GmbH","http://www.regionalverkehr-hildesheim.de/","Europe/Berlin","de","+49 5121 76420"
553,"SVHI Stadtverkehr Hildesheim GmbH","http://www.stadtverkehr-hildesheim.de/","Europe/Berlin","de","+49 5121 66666"
554,"üstra Hannoversche Verkehrsbetriebe AG","http://www.uestra.de/","Europe/Berlin","de","+49 511 16680"
556,"Stadtbusgesellschaft Nienburg/Weser mbH","http://www.stadtbus-nienburg.de/","Europe/Berlin","de","+49 5021 6089900"
605,"NordWestBahn","http://www.nordwestbahn.de/","Europe/Berlin","de","+49 541 20024321"
606,"metronom Eisenbahngesellschaft mbH","http://www.der-metronom.de/","Europe/Berlin","de","+49 581 97 164-164"
607,"erixx","http://www.erixx.de/","Europe/Berlin","de","+49 451 69331-0"
608,"cantus Verkehrsgesellschaft","http://www.cantus-bahn.de/","Europe/Berlin","de","+49 561 766396-0"
615,"Verkehrsgemeinschaft Osnabrück","http://www.vos.info/","Europe/Berlin","de","+49 541 20022211"
620,"Bruns Reisen GmbH Bad Zwischenahn","http://www.reise-freunde.de/reisefreunde/index.php/vbn-bad-zwischenahn.html","Europe/Berlin","de","+49 4403 816250"
685,"Lüchow-Schmarsauer Eisenbahn","https://www.lse-bus.de/","Europe/Berlin","de","+49 5841 977335"
690,"Nordhessischer Verkehrsverbund","https://www.nvv.de/","Europe/Berlin","de","+49 800 9390800"
720,"Bittner/Emsland-Mitte","http://www.omnibusbetrieb-bittner.de/","Europe/Berlin","de","+49 591 63075"
760,"Meyering Verkehrsgesellschaft mbH","http://www.meyering.de","Europe/Berlin","de","+49 5 91 804 200"
780,"Usedomer Bäder Bahn Bus","https://www.ubb-online.com/","Europe/Berlin","de","+49 3 85 750 24 05"
795,"enno","http://www.der-enno.de/","Europe/Berlin","de","+49 581 97164 174"
810,"WestfalenBahn","http://www.westfalenbahn.de","Europe/Berlin","de","+49521 557777-55"
815,"ABELLIO Rail Mitteldeutschland GmbH","https://www.abellio.de/de/mitteldeutschland","Europe/Berlin","de","+49 800 223 5546"
969,"eurobahn","http://twn.keolis.de/","Europe/Berlin","de","+49 0800 387 622 46"
1060,"S-Bahn Hamburg","https://www.s-bahn-hamburg.de/s_hamburg/view/index.shtml","Europe/Berlin","de",""
1130,"FBS - Fähren Bremen-Stedingen GmbH","https://www.faehren-bremen.de/","Europe/Berlin","de",""
1180,"SBV Janßen GmbH & Co. KG","http://vbn.de","Europe/Berlin","de","+49 4498 7361"
1185,"Schrage Reisen","http://www.schrage-reisen.de","Europe/Berlin","de","+49 54 29 94 24-0"
1195,"Verkehrsbetriebe Oldenburger Land","https://www.wilmering-bewegt.de/","Europe/Berlin","de","+49 44 41 93110"
1201,"ABELLIO Rail Mitteldeutschland GmbH","https://www.abellio.de/de/mitteldeutschland","Europe/Berlin","de","+49 800 223 5546"
1249,"Bentheimer Eisenbahn","https://www.bentheimer-eisenbahn.de/","Europe/Berlin","de","+49 5921-80330"
1322,"DB Fernverkehr (Codesharing)","http://www.bahn.de","Europe/Berlin","de",""
1456,"Nahreisezug","http://www.bahn.de","Europe/Berlin","de","+49 30 2970"
1542,"Brünemeyer Reisen & Transporte GmbH","http://www.bruenemeyer-reisen.de/","Europe/Berlin","de","+49 4497 / 92 14 – 0"
1655,"Eisenbahnen und Verkehrsbetriebe Elbe-Weser GmbH(Bahndaten)","http://www.evb-elbe-weser.de/startseite/","Europe/Berlin","de","+49 4761 9931-0"
1689,"DB Regio AG Nord","http://www.bahn.de","Europe/Berlin","de","+49 431 53440500"
1750,"Verkehrsbetriebe Bachstein","http://www.vb-bachstein.de","Europe/Berlin","de","+495141 48708-50"
1850,"Heidekreis","https://www.vnn.de/regionen/heidekreis/","Europe/Berlin","de","+49 4141 525 252"
1855,"Willy Hummert Omnibusverkehr GmbH","https://www.willy-hummert.de/","Europe/Berlin","de","+49 5421-9447-0"
1917,"Regionalverkehre Start Deutschland GmbH","https://www.startgmbh.com/","Europe/Berlin","de","+4969 9 99 99 36 40"
1935,"Omnibus-Nahverkehrs-Service","https://www.ons-peine.de/","Europe/Berlin","de","+49 51 71 9 88 98 66"
1950,"Krümberg Reisen GmbH","http://www.reise-freunde.de/reisefreunde/index.php/kruemberg-reisen.html","Europe/Berlin","de","+49  54 32  45 90"
1990,"HarzBus GbR","http://www.harzbus.de","Europe/Berlin","de","+49 5321 518278-0"
2085,"Busreisen Andreesen Morten GmbH & Co. KG","https://andressen-reisen.de/","Europe/Berlin","de","+49 4392 849 630"
2115,"Gebken Reisen GmbH","https://www.gebken-gerdes.de/","Europe/Berlin","de","+49 4404 - 98800"
2116,"Hutfilters Reisedienst GmbH & Co.","https://www.hutfilters-reisedienst.de/","Europe/Berlin","de","+49  4221 9989930"
2117,"Omnibusbetrieb Nienaber","https://www.nienaber-bus.de/","Europe/Berlin","de","+49 4492 666"
2150,"Verkehrsgesellschaft Landkreis Osnabrück","http://www.vlo.de","Europe/Berlin","de","+49 5471 95590"
2155,"eurobahn","https://www.eurobahn.de","Europe/Berlin","de","+49 800 6 5040 30"
2156,"eurobahn","https://www.eurobahn.de","Europe/Berlin","de","+49 800 6 5040 30"
2160,"Delmenhorst-Harpstedter Eisenbahnfreunde e.V","https://www.dhe-reisen.de/","Europe/Berlin","de","+49 4244 23 80"
2190,"Verkehrsgemeinschaft Vechta","https://www.vgv-info.de/","Europe/Berlin","de","+49 44 41 93110"
2205,"Personenverkehrsgesellschaft Altmarkkreis Salzwedel mbH","https://www.pvgs-salzwedel.de/","Europe/Berlin","","+49 39 01 / 30 40 12"
2240,"Reisebüro Winkelmann GmbH","https://www.winkelmann-reisen.de/","Europe/Berlin","de","+49 54 76  90 2000"
2305,"Reisebüro Beckermann","https://www.beckermann-bramsche.de/","Europe/Berlin","de","+49 5461 93390"
2335,"Reisedienst Bonte","https://www.nvv.de/","Europe/Berlin","de","+49 6691 9272920"
2345,"Harzer Verkehrsbetriebe GmbH","https://hvb-harz.de/","Europe/Berlin","","+49 3943 564-110"
2365,"Weserfähre Bremen","https://www.faehren-bremen.de/","Europe/Berlin","de","+49421 - 69 03 69"
2372,"ARGE Sallwey-Frölich-Brundig","https://www.sallwey.de/","Europe/Berlin","de","+49 5544 9503-0"
2400,"Weser-Ems-Bus Betrieb Ostfriesland","http://www.weser-ems-bus.de/","Europe/Berlin","de","+4949192536-0"
2401,"Weser-Ems-Bus Betrieb Bremen","http://www.weser-ems-bus.de/","Europe/Berlin","de","+49 421 89777603"
2402,"Weser-Ems-Bus Betrieb Osnabrück","http://www.weser-ems-bus.de/","Europe/Berlin","de","+49 54197061650"
2403,"Weser-Ems-Bus Auftragnehmerleistungen","http://www.weser-ems-bus.de/","Europe/Berlin","de","+49 421 89777603"
2445,"Hal över","https://www.hal-oever.de/de/home/","Europe/Berlin","de","+49 421 33 89 89"
2480,"Hülsmann Reisen","https://www.vge-emsland-sued.de/","Europe/Berlin","de","+49  54 67 92 00-0"
2505,"Regionalverkehre Start Deutschland (Niedersachsen-Mitte)","https://www.startgmbh.com/","Europe/Berlin","de","+49 5191-8030904"
2506,"S-Bahn Hannover (Transdev)","https://www.sbahn-hannover-2022.de/","Europe/Berlin","de","+49 511 897 69 000"
2550,"Scheithauer Reisen","https://scheithauer-reisen.de/","Europe/Berlin","de","+49 55 27 98300"
2575,"Kalmer Reisen GmbH","https://www.reise-freunde.de/reisefreunde/index.php/kalmer-reisen-haseluenne.html","Europe/Berlin","de","+49 59 61 9 45 40"
2600,"Bad Salzdetzfurth","https://www.bad-salzdetfurth.de/B%C3%BCrger/%C3%96PNV/","Europe/Berlin","de","+49 5063 999-0"
2606,"Weihrauch Uhlendorff GmbH","https://www.weihrauch-uhlendorff.de/","Europe/Berlin","de","+49 555197500"
2607,"Regiobus Uhlendorff GmbH & Co. KG","https://www.regiobus-uhlendorff.de/","Europe/Berlin","de","+49 5572 579"
2610,"Ilmebahn GmbH","https://ilmebahn.de/","Europe/Berlin","de","+49 5561 – 9325-0"
2615,"Scheithauer & Weihrauch GbR","https://www.weihrauch-uhlendorff.de/linienverkehr/","Europe/Berlin","de","+49 555197500"
2616,"Verkehrsgesellschaft Südniedersachsen mbH","https://vsninfo.de/","Europe/Berlin","de","+49 551 8207000"
2630,"Haller Busbetrieb GmbH","http://www.haller-walsrode.de/startseite.html","Europe/Berlin","de","+49 5161 48145-0"
2740,"Arendt Busbetrieb GmbH","https://www.arendt-busbetrieb.de","Europe/Berlin","","+49 4942 5761350"
2805,"Museumsbahn","https://www.bw-nms.de/","Europe/Berlin","","04321 965974"
2850,"Frenzel Reisen","https://www.frenzel-reisen.de","Europe/Berlin","","+49 421 1638100"
2875,"Hahne Reisen e.K","https://hahne-reisen.goebus-omnibusportal.de/","Europe/Berlin","","+495583 838"
