route_id,agency_id,route_short_name
62172,326,26E
59936,326,3E
49430,326,5S
49429,326,5
46570,326,2E
36865,326,27E
35761,326,1
35760,326,2
35759,326,3
35758,326,4
35757,326,6
35756,326,8
35755,326,10
35754,326,1E
35753,326,2E
35752,326,6E
35751,326,1E
35750,326,E
35749,326,E
35748,326,6E
35747,326,N1
35746,326,N4
35745,326,N10
35744,326,1E
35743,326,2E
35741,326,4E
35739,326,8E
35738,326,10E
35737,326,1S
35735,326,20
35734,326,21
35733,326,22
35732,326,24
35731,326,25
35730,326,26
35729,326,27
35728,326,28
35727,326,29
35726,326,31
35725,326,33
35724,326,34
35723,326,37
35722,326,38
35721,326,39
35720,326,40
35719,326,41
35718,326,42
35717,326,44
35715,326,52
35713,326,55
35712,326,57
35711,326,58
35710,326,61
35709,326,62
35708,326,63
35707,326,65
35706,326,66
35705,326,80
35704,326,81
35703,326,82
35701,326,90
35700,326,91
35699,326,92
35698,326,93
35697,326,94
35696,326,95
35695,326,96
35693,326,98
35690,326,1E
35689,326,4E
35688,326,N3
35687,326,N5
35686,326,N6
35685,326,N7
35684,326,N9
35683,326,41S
35682,326,N94
35680,326,21E
35679,326,22E
35678,326,24E
35677,326,33E
35676,326,34E
35675,326,37E
35674,326,41E
35673,326,90E
