stop_id;stop_name;stop_lat;stop_lon;number_of_building_sites
9014331;Bremen-Vegesack;5.316.976;8.629.996;0
9014333;Bremen-Walle;53.103.808;8.786.209;0
9014326;Bremen-Sebaldsbrück (Zug);53.061.133;8.887.807;0
9014329;Bremen-St. Magnus;53.171.574;8.669.636;0
9014324;Bremen-Oslebshausen;53.135.308;8.741.053;0
9014325;Bremen-Schönebeck;53.172.775;8.649.133;0
9014053;Bremen Mahndorf;53.039.748;8.944.614;0
9014323;Bremen-Oberneuland;53.087.177;8.937.892;0
9013794;Bremen-Burg(Bahn);53.160.602;8.704.687;0
9014318;Bremen-Hemelingen;53.054.479;8.886.823;0
9014095;Bremen Neustadt;53.075.897;8.785.927;0
9014321;Bremen-Lesum;53.170.691;8.686.548;0
9013927;Bremen Hbf;53.083.456;8.813.719;0
9014230;Bremen Tenever;53.057.509;8.962.761;0
9014205;Bremen Stader Straße/Bismarckstraße;53.073.972;8.852.545;0
9014200;Bremen St. Joseph-Stift;53.082.482;8.837.204;0
9013895;Bremen Goldbergplatz;53.170.893;8.702.791;0
9014075;Bremen Mittelsbürener Landstraße;53.143.057;8.714.654;0
9082643;Schwanewede Am Spreeken;53.242.891;8.590.647;0
9082654;Schwanewede Hospitalstraße;53.225.206;8.591.855;0
9013816;Bremen DIAKO Bremen;53.126.404;8.747.009;0
9019789;Delmenhorst Sandhausen;53.095.719;8.647.627;0
9014287;Bremen Westerstraße;53.074.474;8.794.082;0
9013735;Bremen Bahnhof Blumenthal;53.183.024;8.579.728;0
9013906;Bremen Gustav-Heinemann-Bürgerhaus;5.317.448;8.618.157;0
9082650;Schwanewede Landhaus Schwanewede;5.323.916;859.269;0
9014115;Bremen Osterholzer Möhlendamm;53.057.907;895.105;0
9014279;Bremen Werner-Steenken-Straße;53.053.257;8.962.122;0
9014112;Bremen Osterholzer Friedhof;5.305.985;8.914.326;0
9014113;Bremen Osterholzer Heerstraße;53.059.114;8.930.389;0
