stop_id;stop_name;stop_lat;stop_lon;number_of_building_sites
9014205;Bremen Stader Straße/Bismarckstraße;53.073.972;8.852.545;0
9014039;Bremen Linzer Straße;53.108.480;8.861.101;0
9014023;Bremen Kurfürstenallee;53.082.209;8.854.479;1
9014022;Bremen Kulenkampffallee;53.098.320;8.839.693;0
9014246;Bremen Universität/Zentralbereich;53.107.711;8.852.383;0
9013754;Bremen Bei den Drei Pfählen;53.071.210;8.850.630;0
9013994;Bremen Karl-Carstens-Brücke;53.054.136;8.851.033;0
9013890;Bremen Georg-Bitter-Straße;53.067.212;8.854.328;0
9013712;Bremen Anna-Stiegler-Straße;53.040.765;8.828.041;0
9013703;Bremen Am Stern;53.084.252;8.825.747;0
9014289;Bremen Wiener Straße;53.106.152;8.845.833;0
9014243;Bremen Universität-Nord;53.110.640;8.854.691;0
9013999;Bremen Kattenturm-Mitte;53.035.323;8.826.916;0
9014123;Bremen Parkallee;53.099.188;8.837.012;0
9013814;Bremen Crüsemannallee;53.091.492;8.834.986;0
9013777;Bremen Borgwardstraße;53.045.739;8.844.893;0
9013715;Bremen Arensburgstraße;53.078.505;8.855.109;0
9013785;Bremen Bruchhauser Straße;53.039.086;8.834.853;0
9014245;Bremen Universität-Süd;53.105.197;8.850.888;0
9013910;Bremen Habenhauser Brückenstraße;53.050.319;8.847.649;0
9014244;Bremen Universität-Ost;53.106.610;8.863.862;0
9014206;Bremen Stader Straße/Hamburger Straße;53.068.065;8.848.930;0
9014200;Bremen St. Joseph-Stift;53.082.482;8.837.204;0
9013799;Bremen Busestraße;53.094.999;8.837.678;0
9014082;Bremen Munte;53.104.780;8.840.919;0
9013667;Bremen Agnes-Heineken-Straße;53.038.759;8.832.342;0
