"from_stop_id","to_stop_id","transfer_type","min_transfer_time","from_route_id","to_route_id","from_trip_id","to_trip_id"
000008005610,000008005610,2,300,,,,
000008005616,000008005616,2,300,,,,
000008010193,000008010193,2,300,,,,
000008006144,000008006144,2,300,,,,
000008002063,000008002063,2,300,,,,
000008070146,000008070146,2,300,,,,
000008000669,000008000669,2,120,,,,
000008010261,000008010261,2,240,,,,
000008011834,000008011834,2,300,,,,
000000848163,000000848163,2,120,,,,
000000848162,000000848162,2,120,,,,
000000831140,000000831140,2,120,,,,
000000846108,000000846108,2,120,,,,
000000831141,000000831141,2,120,,,,
000000846109,000000846109,2,120,,,,
000000848045,000000848045,2,120,,,,
000000844428,000000844428,2,120,,,,
000000846106,000000846106,2,120,,,,
000000846107,000000846107,2,120,,,,
000000846104,000000846104,2,120,,,,
000000846105,000000846105,2,120,,,,
000000846102,000000846102,2,120,,,,
000000846103,000000846103,2,120,,,,
000000846100,000000846100,2,120,,,,
000000846101,000000846101,2,120,,,,
000000831145,000000831145,2,120,,,,
000008000880,000008000880,2,180,,,,
000000844426,000000844426,2,120,,,,
000000844427,000000844427,2,120,,,,
000000844425,000000844425,2,120,,,,
000000847938,000000847938,2,120,,,,
000000858411,000000858411,2,120,,,,
000000847939,000000847939,2,120,,,,
000000858410,000000858410,2,120,,,,
000000844704,000000844704,2,120,,,,
000000844702,000000844702,2,120,,,,
000000844703,000000844703,2,120,,,,
000000846348,000000846348,2,120,,,,
000000858419,000000858419,2,120,,,,
000000844701,000000844701,2,120,,,,
000000846349,000000846349,2,120,,,,
000008003699,000008003699,2,300,,,,
000008003020,000008003020,2,240,,,,
000000847932,000000847932,2,120,,,,
000000847933,000000847933,2,120,,,,
000000847930,000000847930,2,120,,,,
000000847931,000000847931,2,120,,,,
000000846346,000000846346,2,120,,,,
000000846347,000000846347,2,120,,,,
000000858415,000000858415,2,120,,,,
000000846345,000000846345,2,120,,,,
000000846343,000000846343,2,120,,,,
000000858412,000000858412,2,120,,,,
000000847810,000000847810,2,120,,,,
000000847811,000000847811,2,120,,,,
000000841005,000000841005,2,120,,,,
000000841001,000000841001,2,120,,,,
000008003309,000008003309,2,180,,,,
000008013291,000008013291,2,300,,,,
000008079069,000008079069,2,300,,,,
000008011228,000008011228,2,300,,,,
000008005534,000008005534,2,300,,,,
000008005535,000008005535,2,300,,,,
000008004838,000008004838,2,300,,,,
000008002969,000008002969,2,300,,,,
000008003267,000008003267,2,300,,,,
000008000392,000008000392,2,240,,,,
000008005413,000008005413,2,180,,,,
000008002967,000008002967,2,300,,,,
000008005415,000008005415,2,300,,,,
000008003541,000008003541,2,300,,,,
000008003542,000008003542,2,180,,,,
