current_date,current_time,daytime,daytime_class,dayhour,dayquarter,weekday,is_workingday,is_holiday,starting_stop_time,line,number_of_stops,direction,stop_id,stop_name,stop_sequence,arrival_delay_category,departure_delay_category,arrival_delay_seconds,departure_delay_seconds
2024-03-31,21:25:14,night,5,21,2,Sunday,0,0,21:22:00,34,23,Horn,9014184,Bremen Sebaldsbrück (Bus+Tram),0,0,0,0,0
2024-03-31,21:25:14,night,5,21,2,Sunday,0,0,21:22:00,34,23,Horn,9013691,Bremen Am Hallacker,7,0,0,-30,-30
2024-03-31,21:25:14,night,5,21,2,Sunday,0,0,21:22:00,34,23,Horn,9014114,Bremen Osterholzer Landstraße,8,0,0,0,0
2024-03-31,21:25:14,night,5,21,2,Sunday,0,0,21:25:00,26,53,Kattenturm / Klinikum LDW,9103706,Bremen Überseestadt-Nord,0,0,0,0,0
2024-03-31,21:25:14,night,5,21,2,Sunday,0,0,21:25:00,26,53,Kattenturm / Klinikum LDW,9103704,Bremen Ehrenfelsstraße,1,0,0,-30,-30
2024-03-31,21:25:14,night,5,21,2,Sunday,0,0,21:25:00,26,53,Kattenturm / Klinikum LDW,9014194,Bremen Silbermannstraße,2,0,0,0,0
2024-03-31,21:25:14,night,5,21,2,Sunday,0,0,21:25:00,26,53,Kattenturm / Klinikum LDW,9014033,Bremen Lange Reihe,7,0,0,-30,-30
2024-03-31,21:25:14,night,5,21,2,Sunday,0,0,21:25:00,26,53,Kattenturm / Klinikum LDW,9014265,Bremen Bahnhof Walle,8,0,0,0,0
2024-03-31,21:25:14,night,5,21,2,Sunday,0,0,21:25:00,26,53,Kattenturm / Klinikum LDW,9001282,Bremen Fontanestraße,34,0,0,-30,-30
2024-03-31,21:25:14,night,5,21,2,Sunday,0,0,21:25:00,26,53,Kattenturm / Klinikum LDW,9013910,Bremen Habenhauser Brückenstraße,35,0,0,0,0
2024-03-31,21:25:14,night,5,21,2,Sunday,0,0,21:25:00,26,53,Kattenturm / Klinikum LDW,9001281,Bremen Schlehenweg,37,0,0,-30,-30
2024-03-31,21:25:14,night,5,21,2,Sunday,0,0,21:25:00,26,53,Kattenturm / Klinikum LDW,9014211,Bremen Staustraße,38,0,0,0,0
2024-03-31,21:25:14,night,5,21,2,Sunday,0,0,21:25:00,26,53,Kattenturm / Klinikum LDW,9014059,Bremen Martin-Buber-Straße,47,0,0,-30,-30
