start_date,current_time,weekday,holiday,starting_stop_time,line,number_of_stops,direction,number_of_building_sites,stop,stop_sequence,arrival_delay_sec,departure_delay_sec,stop_lat,stop_lon,current_speed,freeflow_Speed,average_traffic_load_percentage
2024-02-14,13:01:58,Wednesday,0,12:40:00,21,25,Sebaldsbrück / 44 Bf Mahndorf,2,Bremen Universität-Nord,0.0,0,0,53.11064,8.854691,52.0,52.0,0.0
2024-02-14,13:01:58,Wednesday,0,12:53:00,21,25,Universität,2,Bremen Universität-Nord,17.0,0,0,53.11064,8.854691,52.0,52.0,0.0
2024-02-14,13:01:58,Wednesday,0,12:38:00,21,25,Universität,2,Bremen Universität-Nord,17.0,0,0,53.11064,8.854691,52.0,52.0,0.0
2024-02-14,13:01:58,Wednesday,0,12:25:00,21,25,Blockdiek,2,Bremen Universität-Nord,0.0,0,0,53.11064,8.854691,52.0,52.0,0.0
2024-02-14,13:01:58,Wednesday,0,12:55:00,21,25,Blockdiek,2,Bremen Universität-Nord,0.0,0,0,53.11064,8.854691,52.0,52.0,0.0
2024-02-14,13:01:58,Wednesday,0,12:51:00,6,25,Flughafen,0,Bremen Universität-Nord,0.0,0,0,53.11064,8.854691,52.0,52.0,0.0
2024-02-14,13:01:58,Wednesday,0,12:31:00,6,25,Universität,0,Bremen Universität-Nord,24.0,1,0,53.11064,8.854691,52.0,52.0,0.0
2024-02-14,13:01:58,Wednesday,0,12:51:00,6,25,Universität,0,Bremen Universität-Nord,24.0,1,0,53.11064,8.854691,52.0,52.0,0.0
2024-02-14,13:01:58,Wednesday,0,12:31:00,6,25,Flughafen,0,Bremen Universität-Nord,0.0,0,0,53.11064,8.854691,52.0,52.0,0.0
2024-02-14,13:01:58,Wednesday,0,13:01:00,6,25,Universität,0,Bremen Universität-Nord,24.0,0,0,53.11064,8.854691,52.0,52.0,0.0
2024-02-14,13:01:58,Wednesday,0,13:01:00,6,25,Flughafen,0,Bremen Universität-Nord,0.0,0,0,53.11064,8.854691,52.0,52.0,0.0
2024-02-14,13:01:58,Wednesday,0,12:41:00,6,25,Universität,0,Bremen Universität-Nord,24.0,1,0,53.11064,8.854691,52.0,52.0,0.0
2024-02-14,13:01:58,Wednesday,0,12:41:00,6,25,Flughafen,0,Bremen Universität-Nord,0.0,0,0,53.11064,8.854691,52.0,52.0,0.0
2024-02-14,13:01:58,Wednesday,0,12:39:00,31,30,Borgfeld-Ost,0,Bremen Universität-Nord,16.0,1,1,53.11064,8.854691,52.0,52.0,0.0
2024-02-14,13:01:58,Wednesday,0,12:35:00,31,30,Nedderland,0,Bremen Universität-Nord,13.0,1,1,53.11064,8.854691,52.0,52.0,0.0
2024-02-14,13:01:58,Wednesday,0,12:43:00,22,26,Universität-Ost,1,Bremen Universität-Nord,23.0,0,1,53.11064,8.854691,52.0,52.0,0.0
2024-02-14,13:01:58,Wednesday,0,12:55:00,22,26,Kattenturm,1,Bremen Universität-Nord,2.0,0,0,53.11064,8.854691,52.0,52.0,0.0
2024-02-14,13:01:58,Wednesday,0,12:35:00,22,26,Kattenturm,1,Bremen Universität-Nord,2.0,0,0,53.11064,8.854691,52.0,52.0,0.0
2024-02-14,13:01:58,Wednesday,0,12:23:00,22,26,Universität-Ost,1,Bremen Universität-Nord,23.0,1,1,53.11064,8.854691,52.0,52.0,0.0
2024-02-14,13:01:58,Wednesday,0,12:51:00,28,26,Überseestadt,0,Bremen Universität-Nord,0.0,0,0,53.11064,8.854691,52.0,52.0,0.0
2024-02-14,13:01:58,Wednesday,0,12:40:00,21,25,Sebaldsbrück / 44 Bf Mahndorf,2,Bremen Universität-Süd,2.0,1,1,53.105197,8.850888,31.0,47.0,0.3404
2024-02-14,13:01:58,Wednesday,0,12:53:00,21,25,Universität,2,Bremen Universität-Süd,15.0,0,0,53.105197,8.850888,31.0,47.0,0.3404
2024-02-14,13:01:58,Wednesday,0,12:38:00,21,25,Universität,2,Bremen Universität-Süd,15.0,1,1,53.105197,8.850888,31.0,47.0,0.3404
2024-02-14,13:01:58,Wednesday,0,12:25:00,21,25,Blockdiek,2,Bremen Universität-Süd,2.0,0,1,53.105197,8.850888,31.0,47.0,0.3404
2024-02-14,13:01:58,Wednesday,0,12:55:00,21,25,Blockdiek,2,Bremen Universität-Süd,2.0,0,0,53.105197,8.850888,31.0,47.0,0.3404
2024-02-14,13:01:58,Wednesday,0,12:51:00,6,25,Flughafen,0,Bremen Universität-Süd,2.0,0,0,53.105197,8.850888,31.0,47.0,0.3404
2024-02-14,13:01:58,Wednesday,0,12:31:00,6,25,Universität,0,Bremen Universität-Süd,22.0,1,1,53.105197,8.850888,31.0,47.0,0.3404
2024-02-14,13:01:58,Wednesday,0,12:51:00,6,25,Universität,0,Bremen Universität-Süd,22.0,1,1,53.105197,8.850888,31.0,47.0,0.3404
2024-02-14,13:01:58,Wednesday,0,12:31:00,6,25,Flughafen,0,Bremen Universität-Süd,2.0,0,0,53.105197,8.850888,31.0,47.0,0.3404
2024-02-14,13:01:58,Wednesday,0,13:01:00,6,25,Universität,0,Bremen Universität-Süd,22.0,0,0,53.105197,8.850888,31.0,47.0,0.3404
2024-02-14,13:01:58,Wednesday,0,13:01:00,6,25,Flughafen,0,Bremen Universität-Süd,2.0,0,0,53.105197,8.850888,31.0,47.0,0.3404
2024-02-14,13:01:58,Wednesday,0,12:41:00,6,25,Universität,0,Bremen Universität-Süd,22.0,1,1,53.105197,8.850888,31.0,47.0,0.3404
2024-02-14,13:01:58,Wednesday,0,12:41:00,6,25,Flughafen,0,Bremen Universität-Süd,2.0,0,0,53.105197,8.850888,31.0,47.0,0.3404
2024-02-14,13:01:58,Wednesday,0,12:39:00,31,30,Borgfeld-Ost,0,Bremen Universität-Süd,14.0,1,1,53.105197,8.850888,31.0,47.0,0.3404
2024-02-14,13:01:58,Wednesday,0,12:35:00,31,30,Nedderland,0,Bremen Universität-Süd,15.0,1,1,53.105197,8.850888,31.0,47.0,0.3404
2024-02-14,13:01:58,Wednesday,0,12:43:00,22,26,Universität-Ost,1,Bremen Universität-Süd,21.0,1,1,53.105197,8.850888,31.0,47.0,0.3404
2024-02-14,13:01:58,Wednesday,0,12:55:00,22,26,Kattenturm,1,Bremen Universität-Süd,4.0,0,0,53.105197,8.850888,31.0,47.0,0.3404
2024-02-14,13:01:58,Wednesday,0,12:35:00,22,26,Kattenturm,1,Bremen Universität-Süd,4.0,0,0,53.105197,8.850888,31.0,47.0,0.3404
2024-02-14,13:01:58,Wednesday,0,12:23:00,22,26,Universität-Ost,1,Bremen Universität-Süd,21.0,1,1,53.105197,8.850888,31.0,47.0,0.3404
2024-02-14,13:01:58,Wednesday,0,12:34:00,28,26,Universität,0,Bremen Universität-Süd,23.0,0,1,53.105197,8.850888,31.0,47.0,0.3404
