start_date,current_time,daytime,weekday,holiday,starting_stop_time,line,number_of_stops,direction,number_of_building_sites,stop,stop_sequence,arrival_delay_sec,departure_delay_sec
2024-02-27,19:49:51,evening,Tuesday,0,19:39:00,1,44,Bf Mahndorf,0,Bremen Roland-Center,0,0,0
2024-02-27,19:49:51,evening,Tuesday,0,19:39:00,1,44,Bf Mahndorf,0,Bremen Norderländer Straße,1,0,0
2024-02-27,19:49:51,evening,Tuesday,0,19:39:00,1,44,Bf Mahndorf,0,Bremen Bardenflethstraße,2,0,0
2024-02-27,19:49:51,evening,Tuesday,0,19:39:00,1,44,Bf Mahndorf,0,Bremen Solinger Straße,3,0,0
2024-02-27,19:49:51,evening,Tuesday,0,19:39:00,1,44,Bf Mahndorf,0,Bremen Duckwitzstraße,4,0,1
2024-02-27,19:49:51,evening,Tuesday,0,19:39:00,1,44,Bf Mahndorf,0,Bremen Neuenlander Straße,5,1,1
2024-02-27,19:49:51,evening,Tuesday,0,19:39:00,1,44,Bf Mahndorf,0,Bremen Pappelstraße,6,1,1
2024-02-27,19:49:51,evening,Tuesday,0,19:39:00,1,44,Bf Mahndorf,0,Bremen Hochschule Bremen,7,1,1
2024-02-27,19:49:51,evening,Tuesday,0,19:39:00,1,44,Bf Mahndorf,0,Bremen Westerstraße,8,1,1
2024-02-27,19:49:51,evening,Tuesday,0,19:39:00,1,44,Bf Mahndorf,0,Bremen Am Brill (Bgm.-Smidt-Straße),9,0,1
2024-02-27,19:49:51,evening,Tuesday,0,19:39:00,1,44,Bf Mahndorf,0,Bremen Am Wall,10,1,1
2024-02-27,19:49:51,evening,Tuesday,0,19:39:00,1,44,Bf Mahndorf,0,Bremen Hauptbahnhof,11,0,0
2024-02-27,19:49:51,evening,Tuesday,0,19:39:00,1,44,Bf Mahndorf,0,Bremen Rembertistraße,12,0,1
2024-02-27,19:49:51,evening,Tuesday,0,19:39:00,1,44,Bf Mahndorf,0,Bremen Am Dobben,13,0,0
2024-02-27,19:49:51,evening,Tuesday,0,19:39:00,1,44,Bf Mahndorf,0,Bremen Parkstraße,14,0,1
2024-02-27,19:49:51,evening,Tuesday,0,19:39:00,1,44,Bf Mahndorf,0,Bremen Hollerallee,15,0,1
2024-02-27,19:49:51,evening,Tuesday,0,19:39:00,1,44,Bf Mahndorf,0,Bremen St. Joseph-Stift,16,0,1
