stop_id,stop_name,stop_lat,stop_lon
9014331,Bremen-Vegesack,53.16976,8.629996
9014333,Bremen-Walle,53.103808,8.786209
9014326,Bremen-Sebaldsbrück (Zug),53.061133,8.887807
9014329,Bremen-St. Magnus,53.171574,8.669636
9014324,Bremen-Oslebshausen,53.135308,8.741053
9014325,Bremen-Schönebeck,53.172775,8.649133
9014053,Bremen Mahndorf,53.039748,8.944614
9014323,Bremen-Oberneuland,53.087177,8.937892
9013794,Bremen-Burg(Bahn),53.160602,8.704687
9014318,Bremen-Hemelingen,53.054479,8.886823
9014095,Bremen Neustadt,53.075897,8.785927
9014321,Bremen-Lesum,53.170691,8.686548
9013927,Bremen Hbf,53.083456,8.813719
9014230,Bremen Tenever,53.057509,8.962761
9014205,Bremen Stader Straße/Bismarckstraße,53.073972,8.852545
9014200,Bremen St. Joseph-Stift,53.082482,8.837204
9013895,Bremen Goldbergplatz,53.170893,8.702791
9014075,Bremen Mittelsbürener Landstraße,53.143057,8.714654
9082643,Schwanewede Am Spreeken,53.242891,8.590647
9082654,Schwanewede Hospitalstraße,53.225206,8.591855
9013816,Bremen DIAKO Bremen,53.126404,8.747009
9019789,Delmenhorst Sandhausen,53.095719,8.647627
9014287,Bremen Westerstraße,53.074474,8.794082
9013735,Bremen Bahnhof Blumenthal,53.183024,8.579728
9013906,Bremen Gustav-Heinemann-Bürgerhaus,53.17448,8.618157
9082650,Schwanewede Landhaus Schwanewede,53.23916,8.59269
9014115,Bremen Osterholzer Möhlendamm,53.057907,8.95105
9014279,Bremen Werner-Steenken-Straße,53.053257,8.962122
9014112,Bremen Osterholzer Friedhof,53.05985,8.914326
9014113,Bremen Osterholzer Heerstraße,53.059114,8.930389
9013744,Bremen Bahnhof Sebaldsbrück,53.062197,8.887576
9014184,Bremen Sebaldsbrück (Bus+Tram),53.059469,8.899647
9014005,Bremen Klinikum Bremen-Mitte,53.076869,8.837379
9013884,Bremen Föhrenstraße,53.06431,8.877295
9014282,Bremen Weserpark,53.049065,8.960619
9013968,Bremen Holzweide,53.042185,8.959171
9014122,Bremen Pappelstraße,53.069665,8.787596
9013888,Bremen Gastfeldstraße,53.066421,8.793695
9013954,Bremen Hochschule Bremen,53.072354,8.791041
9082665,Schwanewede Molkereiweg,53.231682,8.593411
9014252,Bremen Varreler Landstraße,53.036236,8.726984
9082669,Schwanewede Schützenweg,53.226292,8.594252
9065563,Neuenkirchen(Schwanewede) Marktplatz,53.23443,8.515404
9065568,Neuenkirchen(Schwanewede) Vorbruch,53.233095,8.525564
9014992,Brinkum-Nord Ochtum Park (IKEA),53.027896,8.806059
9014302,Bremen Wolfskuhlenweg,53.03943,8.814502
