stop_name,stop_lat,stop_lon,number_of_building_sites,current_time,current_date,daytime,dayhour,current_speed,freeflow_Speed,quotient_current_freeflow_speed
Bremen-Vegesack,53.16976,8.629996,0,23:06:38,2024-03-27,night,23,23.0,23.0,1.0
Bremen-Walle,53.103808,8.786209,0,23:06:38,2024-03-27,night,23,36.0,36.0,1.0
Bremen-Sebaldsbrück (Zug),53.061133,8.887807,0,23:06:38,2024-03-27,night,23,26.0,26.0,1.0
Bremen-St. Magnus,53.171574,8.669636,0,23:06:38,2024-03-27,night,23,72.0,72.0,1.0
Bremen-Oslebshausen,53.135308,8.741053,0,23:06:38,2024-03-27,night,23,64.0,64.0,1.0
Bremen-Schönebeck,53.172775,8.649133,0,23:06:38,2024-03-27,night,23,43.0,43.0,1.0
Bremen Mahndorf,53.039748,8.944614,0,23:06:38,2024-03-27,night,23,45.0,45.0,1.0
Bremen-Oberneuland,53.087177,8.937892,0,23:06:38,2024-03-27,night,23,38.0,38.0,1.0
Bremen-Burg(Bahn),53.160602,8.704687,0,23:06:38,2024-03-27,night,23,44.0,44.0,1.0
Bremen-Hemelingen,53.054479,8.886823,0,23:06:38,2024-03-27,night,23,36.0,36.0,1.0
Bremen Neustadt,53.075897,8.785927,0,23:06:38,2024-03-27,night,23,42.0,42.0,1.0
Bremen-Lesum,53.170691,8.686548,0,23:06:38,2024-03-27,night,23,38.0,38.0,1.0
Bremen Hbf,53.083456,8.813719,0,23:06:38,2024-03-27,night,23,30.0,36.0,0.8333
Bremen Tenever,53.057509,8.962761,0,23:06:38,2024-03-27,night,23,29.0,32.0,0.9062
Bremen Stader Straße/Bismarckstraße,53.073972,8.852545,0,23:06:38,2024-03-27,night,23,16.0,16.0,1.0
Bremen St. Joseph-Stift,53.082482,8.837204,0,23:06:38,2024-03-27,night,23,36.0,36.0,1.0
Bremen Goldbergplatz,53.170893,8.702791,0,23:06:38,2024-03-27,night,23,44.0,44.0,1.0
Bremen Mittelsbürener Landstraße,53.143057,8.714654,0,23:06:38,2024-03-27,night,23,44.0,44.0,1.0
