stop_name,stop_lat,stop_lon,Haltestelle,currentSpeed,freeFlowSpeed
Bremen Stader Straße/Bismarckstraße,53.073972,8.852545,Bremen Stader Straße/Bismarckstraße,8.0,16.0
Bremen St. Joseph-Stift,53.082482,8.837204,Bremen St. Joseph-Stift,22.0,36.0
Bremen Goldbergplatz,53.170893,8.702791,Bremen Goldbergplatz,28.0,44.0
Bremen Mittelsbürener Landstraße,53.143057,8.714654,Bremen Mittelsbürener Landstraße,28.0,44.0
Schwanewede Am Spreeken,53.242891,8.590647,Schwanewede Am Spreeken,64.0,64.0
Schwanewede Hospitalstraße,53.225206,8.591855,Schwanewede Hospitalstraße,32.0,51.0
Bremen DIAKO Bremen,53.126404,8.747009,Bremen DIAKO Bremen,34.0,48.0
Delmenhorst Sandhausen,53.095719,8.647627,Delmenhorst Sandhausen,58.0,58.0
Bremen Bahnhof Blumenthal,53.183024,8.579728,Bremen Bahnhof Blumenthal,36.0,44.0
Bremen Gustav-Heinemann-Bürgerhaus,53.17448,8.618157,Bremen Gustav-Heinemann-Bürgerhaus,18.0,36.0
Schwanewede Landhaus Schwanewede,53.23916,8.59269,Schwanewede Landhaus Schwanewede,63.0,63.0
Bremen Osterholzer Möhlendamm,53.057907,8.95105,Bremen Osterholzer Möhlendamm,28.0,43.0
Bremen Werner-Steenken-Straße,53.053257,8.962122,Bremen Werner-Steenken-Straße,23.0,40.0
Bremen Osterholzer Friedhof,53.05985,8.914326,Bremen Osterholzer Friedhof,28.0,47.0
Bremen Osterholzer Heerstraße,53.059114,8.930389,Bremen Osterholzer Heerstraße,25.0,42.0
Bremen Bahnhof Sebaldsbrück,53.062197,8.887576,Bremen Bahnhof Sebaldsbrück,16.0,27.0
Bremen Sebaldsbrück (Bus+Tram),53.059469,8.899647,Bremen Sebaldsbrück (Bus+Tram),4.0,47.0
Bremen Klinikum Bremen-Mitte,53.076869,8.837379,Bremen Klinikum Bremen-Mitte,29.0,43.0
Bremen Föhrenstraße,53.06431,8.877295,Bremen Föhrenstraße,21.0,23.0
Bremen Weserpark,53.049065,8.960619,Bremen Weserpark,26.0,46.0
Bremen Holzweide,53.042185,8.959171,Bremen Holzweide,34.0,49.0
Bremen Pappelstraße,53.069665,8.787596,Bremen Pappelstraße,16.0,30.0
Bremen Gastfeldstraße,53.066421,8.793695,Bremen Gastfeldstraße,23.0,32.0
Schwanewede Molkereiweg,53.231682,8.593411,Schwanewede Molkereiweg,68.0,68.0
Bremen Varreler Landstraße,53.036236,8.726984,Bremen Varreler Landstraße,19.0,47.0
Schwanewede Schützenweg,53.226292,8.594252,Schwanewede Schützenweg,45.0,58.0
Neuenkirchen(Schwanewede) Marktplatz,53.23443,8.515404,Neuenkirchen(Schwanewede) Marktplatz,65.0,65.0
Neuenkirchen(Schwanewede) Vorbruch,53.233095,8.525564,Neuenkirchen(Schwanewede) Vorbruch,64.0,64.0
Brinkum-Nord Ochtum Park (IKEA),53.027896,8.806059,Brinkum-Nord Ochtum Park (IKEA),13.0,44.0
Bremen Tannenhof,53.175062,8.660805,Bremen Tannenhof,48.0,48.0
Bremen Bahnhof Schönebeck,53.173747,8.648916,Bremen Bahnhof Schönebeck,31.0,45.0
Bremen Am Bahnhof St. Magnus,53.174692,8.669639,Bremen Am Bahnhof St. Magnus,37.0,46.0
Bremen Delmestraße,53.068022,8.790793,Bremen Delmestraße,23.0,32.0
Bremen Ritterhuder Heerstraße,53.133632,8.736583,Bremen Ritterhuder Heerstraße,31.0,37.0
Bremen An Smidts Park,53.151844,8.7084,Bremen An Smidts Park,30.0,44.0
Bremen Stader Landstraße,53.167533,8.702409,Bremen Stader Landstraße,30.0,44.0
Bremen Stockholmer Straße,53.174211,8.719675,Bremen Stockholmer Straße,37.0,45.0
Bremen Gerhard-Rohlfs-Straße,53.171674,8.621464,Bremen Gerhard-Rohlfs-Straße,23.0,39.0
Bremen Friedrich-Engels-Straße,53.050535,8.853241,Bremen Friedrich-Engels-Straße,32.0,40.0
Bremen BSAG-Zentrum,53.061065,8.786174,Bremen BSAG-Zentrum,14.0,22.0
Bremen Stahlwerk Tor 3,53.130727,8.706355,Bremen Stahlwerk Tor 3,33.0,51.0
Bremen Klinikum Links der Weser,53.037377,8.822212,Bremen Klinikum Links der Weser,26.0,39.0
Bremen Neuenlander Kämpe,53.056372,8.784087,Bremen Neuenlander Kämpe,44.0,44.0
Bremen Rockwinkeler Heerstraße,53.091991,8.920181,Bremen Rockwinkeler Heerstraße,48.0,48.0
Bremen Stresemannstraße,53.072578,8.857605,Bremen Stresemannstraße,14.0,36.0
Bremen Tenever-Zentrum,53.061129,8.963829,Bremen Tenever-Zentrum,23.0,40.0
Bremen Togostraße,53.124637,8.740288,Bremen Togostraße,60.0,60.0
Bremen Wilhelm-Herbst-Straße,53.111923,8.849904,Bremen Wilhelm-Herbst-Straße,52.0,52.0
Bremen Ulrichsplatz,53.072617,8.819835,Bremen Ulrichsplatz,22.0,22.0
Bremen Auf den Delben,53.141842,8.713751,Bremen Auf den Delben,25.0,36.0
Bremen Bollener Landstraße,53.034477,8.95256,Bremen Bollener Landstraße,28.0,45.0
Bremen Buschdeel,53.190115,8.543273,Bremen Buschdeel,42.0,53.0
