stop_lat,stop_lon,Aktuelle Uhrzeit,Wochentag,Anzahl Haltestellen,Haltestelle,currentSpeed,freeFlowSpeed,Durchschnittliche Verkehrsauslastung in %
53.073972,8.852545,22:11:56,Sunday,39.0,Bremen Stader Straße/Bismarckstraße,16.0,16.0,0.0
53.082482,8.837204,22:11:56,Sunday,44.0,Bremen St. Joseph-Stift,36.0,36.0,0.0
53.170893,8.702791,22:11:56,Sunday,58.0,Bremen Goldbergplatz,44.0,44.0,0.0
53.242891,8.590647,22:11:56,Sunday,48.0,Schwanewede Am Spreeken,64.0,64.0,0.0
53.126404,8.747009,22:11:56,Sunday,58.0,Bremen DIAKO Bremen,48.0,48.0,0.0
53.183024,8.579728,22:11:56,Sunday,58.0,Bremen Bahnhof Blumenthal,45.0,45.0,0.0
53.17448,8.618157,22:11:56,Sunday,48.0,Bremen Gustav-Heinemann-Bürgerhaus,36.0,36.0,0.0
53.057907,8.95105,22:11:56,Sunday,16.0,Bremen Osterholzer Möhlendamm,44.0,44.0,0.0
53.053257,8.962122,22:11:56,Sunday,44.0,Bremen Werner-Steenken-Straße,40.0,40.0,0.0
53.05985,8.914326,22:11:56,Sunday,16.0,Bremen Osterholzer Friedhof,47.0,47.0,0.0
53.062197,8.887576,22:11:56,Sunday,33.0,Bremen Bahnhof Sebaldsbrück,26.0,26.0,0.0
53.059469,8.899647,22:11:56,Sunday,29.0,Bremen Sebaldsbrück (Bus+Tram),48.0,48.0,0.0
53.076869,8.837379,22:11:56,Sunday,39.0,Bremen Klinikum Bremen-Mitte,33.0,41.0,0.1951
53.06431,8.877295,22:11:56,Sunday,29.0,Bremen Föhrenstraße,24.0,24.0,0.0
53.049065,8.960619,22:11:56,Sunday,44.0,Bremen Weserpark,46.0,46.0,0.0
53.069665,8.787596,22:11:56,Sunday,53.0,Bremen Pappelstraße,30.0,30.0,0.0
53.23443,8.515404,22:11:56,Sunday,58.0,Neuenkirchen(Schwanewede) Marktplatz,65.0,65.0,0.0
53.233095,8.525564,22:11:56,Sunday,58.0,Neuenkirchen(Schwanewede) Vorbruch,64.0,64.0,0.0
53.173747,8.648916,22:11:56,Sunday,58.0,Bremen Bahnhof Schönebeck,46.0,46.0,0.0
53.174692,8.669639,22:11:56,Sunday,58.0,Bremen Am Bahnhof St. Magnus,46.0,46.0,0.0
53.133632,8.736583,22:11:56,Sunday,58.0,Bremen Ritterhuder Heerstraße,37.0,37.0,0.0
53.151844,8.7084,22:11:56,Sunday,58.0,Bremen An Smidts Park,44.0,44.0,0.0
53.167533,8.702409,22:11:56,Sunday,48.0,Bremen Stader Landstraße,44.0,44.0,0.0
53.171674,8.621464,22:11:56,Sunday,58.0,Bremen Gerhard-Rohlfs-Straße,39.0,39.0,0.0
53.050535,8.853241,22:11:56,Sunday,53.0,Bremen Friedrich-Engels-Straße,41.0,41.0,0.0
53.061065,8.786174,22:11:56,Sunday,25.0,Bremen BSAG-Zentrum,23.0,23.0,0.0
53.037377,8.822212,22:11:56,Sunday,53.0,Bremen Klinikum Links der Weser,40.0,40.0,0.0
53.091991,8.920181,22:11:56,Sunday,23.0,Bremen Rockwinkeler Heerstraße,48.0,48.0,0.0
53.072578,8.857605,22:11:56,Sunday,39.0,Bremen Stresemannstraße,37.0,37.0,0.0
53.061129,8.963829,22:11:56,Sunday,44.0,Bremen Tenever-Zentrum,40.0,40.0,0.0
53.111923,8.849904,22:11:56,Sunday,26.0,Bremen Wilhelm-Herbst-Straße,52.0,52.0,0.0
53.072617,8.819835,22:11:56,Sunday,29.0,Bremen Ulrichsplatz,22.0,22.0,0.0
53.190115,8.543273,22:11:56,Sunday,58.0,Bremen Buschdeel,53.0,53.0,0.0
53.092897,8.810399,22:11:56,Sunday,53.0,Bremen Eickedorfer Straße,39.0,39.0,0.0
53.073048,8.924736,22:11:56,Sunday,39.0,Bremen Einkaufszentrum Blockdiek,42.0,42.0,0.0
