"stop_name","line"
"Bremen Kurfürstenallee","1"
"Bremen Neuwieder Straße","1"
"Bremen Schüsselkorb","1"
"Bremen Kurt-Huber-Straße","1"
"Bremen Weserpark","1"
"Bremen Am Wall","1"
"Bremen Am Neuen Markt","1"
"Bremen Bf Mahndorf","1"
"Bremen Rembertistraße","1"
"Bremen Erkelenzer Straße","1"
"Bremen Duckwitzstraße","1"
"Bremen Am Brill (Bgm.-Smidt-Straße)","1"
"Bremen Hollerallee","1"
"Bremen Norderländer Straße","1"
"Bremen Werner-Steenken-Straße","1"
"Bremen Domsheide","1"
"Bremen Roland-Center","1"
"Bremen Neuenlander Straße","1"
"Bremen Kirchbachstraße","1"
"Bremen Parkstraße","1"
"Bremen Carl-Goerdeler-Straße","1"
"Bremen Wilhelm-Kaisen-Brücke","1"
"Bremen Osterholzer Landstraße","1"
"Bremen Am Dobben","1"
"Bremen Solinger Straße","1"
"Bremen Schleiermacherstraße","1"
"Bremen Düsseldorfer Straße","1"
"Bremen Mülheimer Straße","1"
"Bremen Wilhelm-Leuschner-Straße","1"
"Bremen Gastfeldstraße","1"
"Bremen Berliner Freiheit","1"
"Bremen Engadiner Straße","1"
"Bremen BSAG-Zentrum","1"
"Bremen Tenever-Zentrum","1"
"Bremen Metzer Straße","1"
"Bremen Hochschule Bremen","1"
"Bremen Schweizer Eck","1"
"Bremen Ellenerbrokstraße","1"
"Bremen Bardenflethstraße","1"
"Bremen Graubündener Straße","1"
"Bremen St. Joseph-Stift","1"
"Bremen Teneverstraße","1"
"Bremen Westerstraße","1"
"Bremen Weserpark-Süd","1"
"Bremen Polizeipräsidium","1"
"Bremen Pappelstraße","1"
"Bremen Barbarossastraße","1"
"Bremen Hauptbahnhof","1"
"Bremen Julius-Brecht-Allee","1"
"Bremen Theater am Leibnizplatz","1"
"Bremen Herdentor","1"
"Bremen Dietrich-Bonhoeffer-Straße","1"
"Bremen Nußhorn","1"
"Bremen Weserwehr","10"
"Bremen Bahnhof Walle","10"
"Bremen Berufsbildungswerk","10"
"Bremen Kurfürstenallee","10"
"Bremen Trinidadstraße","10"
"Bremen Altenescher Straße","10"
"Bremen Hauptbahnhof-Nord/Messe","10"
"Bremen Wätjenstraße","10"
"Bremen Kirchbachstraße","10"
"Bremen Riensberg","10"
"Bremen Haferkamp","10"
"Bremen Am Stern","10"
"Bremen Metzer Straße","10"
"Bremen Daniel-von-Büren-Straße","10"
"Bremen Humboldtstraße","10"
"Bremen Föhrenstraße","10"
"Bremen Barbarossastraße","10"
"Bremen Universität-Süd","10"
"Bremen H.-H.-Meier-Allee","10"
"Bremen Rembertistraße","10"
"Bremen St. Joseph-Stift","10"
"Bremen Polizeipräsidium","10"
"Bremen Bennigsenstraße","10"
"Bremen Bei den Drei Pfählen","10"
"Bremen Parkstraße","10"
"Bremen Doventorsteinweg","10"
"Bremen Lindenhofstraße","10"
"Bremen Herdentor","10"
"Bremen Brahmsstraße","10"
"Bremen Ludwig-Quidde-Straße","10"
"Bremen Hauptbahnhof","10"
"Bremen Ulrichsplatz","10"
"Bremen Am Hulsberg","10"
"Bremen Wilhelm-Leuschner-Straße","10"
"Bremen Waller Straße","10"
"Bremen Gröpelingen","10"
"Bremen Hohwisch","10"
"Bremen Malerstraße","10"
"Bremen Lise-Meitner-Straße","10"
"Bremen Am Dobben","10"
"Bremen Utbremer Straße","10"
"Bremen Sielwall","10"
"Bremen Falkenstraße","10"
"Bremen Bahnhof Sebaldsbrück","10"
"Bremen Gustavstraße","10"
"Bremen Sebaldsbrück (Bus+Tram)","10"
"Bremen Joseph-Haydn-Straße","10"
"Bremen Kurt-Huber-Straße","10"
"Bremen Carl-Goerdeler-Straße","10"
"Bremen Dietrich-Bonhoeffer-Straße","10"
"Bremen Schüsselkorb","10"
"Bremen Schloßparkstraße","10"
"Bremen Waller Friedhof","10"
"Bremen Berliner Freiheit","10"
"Bremen Obernstraße","10"
"Bremen St.-Jürgen-Straße","10"
"Bremen Wartburgstraße","10"
"Bremen Emmastraße","10"
"Bremen Universität/Zentralbereich","10"
"Bremen Brunnenstraße","10"
"Bremen Georg-Bitter-Straße","10"
"Bremen Universität-Nord","10"
"Bremen Julius-Brecht-Allee","10"
"Bremen Moorstraße","10"
"Bremen Hansestraße","10"
"Bremen Hollerallee","10"
"Bremen Falkenstraße","10E"
"Bremen Daniel-von-Büren-Straße","10E"
"Bremen Wartburgstraße","10E"
"Bremen Hansestraße","10E"
"Bremen Waller Straße","10E"
