StartDate,Startzeit an der Anfangshaltestelle,Linie,Richtung,Haltestelle,StopSequence,Ankunftsverspaetung in Sek.,Abfahrtsverspaetung in Sek.
2024-01-20,17:27:00,3,Gröpelingen,Bremen Am Brill (Bgm.-Smidt-Straße),17.0,418,412
2024-01-20,17:27:00,3,Gröpelingen,Bremen Konsul-Smidt-Straße,17.0,418,430
2024-01-20,17:27:00,3,Gröpelingen,Bremen Hansator,18.0,448,460
2024-01-20,17:27:00,3,Gröpelingen,Bremen Grenzstraße,19.0,430,442
2024-01-20,17:27:00,3,Gröpelingen,Bremen Elisabethstraße,20.0,430,442
2024-01-20,17:27:00,3,Gröpelingen,Bremen Waller Ring,21.0,454,466
2024-01-20,17:27:00,3,Gröpelingen,Bremen Emder Straße,22.0,400,412
2024-01-20,17:27:00,3,Gröpelingen,Bremen Grasberger Straße,24.0,412,418
2024-01-20,17:27:00,3,Gröpelingen,Bremen Goosestraße,25.0,430,436
2024-01-20,17:27:00,3,Gröpelingen,Bremen Use Akschen,26.0,418,436
2024-01-20,17:27:00,3,Gröpelingen,Bremen Kap-Horn-Straße,27.0,418,424
2024-01-20,17:27:00,3,Gröpelingen,Bremen Gröpelingen,28.0,412,0
2024-01-20,16:50:00,90,Gröpelingen,Bremen Buschdeel,,0,47
2024-01-20,16:50:00,90,Gröpelingen,Bremen Dillener Park,1.0,59,77
2024-01-20,16:50:00,90,Gröpelingen,Bremen Rönnebecker Straße,2.0,65,77
2024-01-20,16:50:00,90,Gröpelingen,Bremen Fähre Blumenthal,3.0,64,64
2024-01-20,16:50:00,90,Gröpelingen,Bremen Zum Donaufleet,4.0,34,52
2024-01-20,16:50:00,90,Gröpelingen,Bremen-Blumenthal Markt,5.0,76,76
2024-01-20,16:50:00,90,Gröpelingen,Bremen Bahnhof Blumenthal,6.0,40,10
2024-01-20,16:50:00,90,Gröpelingen,Bremen Bf Klinikum Bremen-Nord,7.0,37,49
2024-01-20,16:50:00,90,Gröpelingen,Bremen Löhstraße,8.0,61,73
2024-01-20,16:50:00,90,Gröpelingen,Bremen Blumenhorster Straße,9.0,37,49
2024-01-20,16:50:00,90,Gröpelingen,Bremen Fährer Kämpe,10.0,55,61
2024-01-20,16:50:00,90,Gröpelingen,Bremen Bahnhof Aumund,11.0,155,167
2024-01-20,16:50:00,90,Gröpelingen,Bremen Aumunder Heide,12.0,178,190
2024-01-20,16:50:00,90,Gröpelingen,Bremen Gustav-Heinemann-Bürgerhaus,13.0,117,135
2024-01-20,16:50:00,90,Gröpelingen,Bremen Gerhard-Rohlfs-Straße,14.0,105,135
2024-01-20,16:50:00,90,Gröpelingen,Bremen Bahnhof Vegesack,15.0,135,105
2024-01-20,16:50:00,90,Gröpelingen,Bremen Auf dem Krümpel,16.0,72,84
2024-01-20,16:50:00,90,Gröpelingen,Bremen Bahnhof Schönebeck,17.0,67,91
2024-01-20,16:50:00,90,Gröpelingen,Bremen Tannenhof,18.0,39,69
2024-01-20,16:50:00,90,Gröpelingen,Bremen Am Bahnhof St. Magnus,19.0,69,81
2024-01-20,16:50:00,90,Gröpelingen,Bremen Holthorster Weg,20.0,69,81
2024-01-20,16:50:00,90,Gröpelingen,Bremen Zum Kränholm,21.0,51,69
2024-01-20,16:50:00,90,Gröpelingen,Bremen Bahnhof Lesum,22.0,63,75
2024-01-20,16:50:00,90,Gröpelingen,Bremen Rotdornallee,23.0,81,93
2024-01-20,16:50:00,90,Gröpelingen,Bremen Am Heidbergstift,24.0,99,111
2024-01-20,16:50:00,90,Gröpelingen,Bremen Burgdammer Postweg,25.0,75,87
2024-01-20,16:50:00,90,Gröpelingen,Bremen Goldbergplatz,26.0,116,128
2024-01-20,16:50:00,90,Gröpelingen,Bremen Stader Landstraße,27.0,54,84
2024-01-20,16:50:00,90,Gröpelingen,Bremen-Burg(Bus),28.0,84,54
2024-01-20,16:50:00,90,Gröpelingen,Bremen Burger Dorfstraße,29.0,43,49
2024-01-20,16:50:00,90,Gröpelingen,Bremen An Smidts Park,30.0,49,55
2024-01-20,16:50:00,90,Gröpelingen,Bremen Am Geestkamp,31.0,49,55
2024-01-20,16:50:00,90,Gröpelingen,Bremen Mittelsbürener Landstraße,32.0,61,67
2024-01-20,16:50:00,90,Gröpelingen,Bremen Von-Ossietzky-Straße,33.0,25,55
