from_stop_id,to_stop_id
9013665,9013665
9013667,9013667
9013668,9013668
9013669,9013669
9013670,9013670
9013671,9013671
9013672,9013672
9013673,9013673
9013674,9013674
9013676,9013676
9013679,9013679
9013680,9013680
9013681,9013681
9013682,9013682
9013683,9013683
9013684,9013684
9013685,9013685
9013687,9013687
9013688,9013688
9013689,9013689
9013690,9013690
9013691,9013691
9013692,9013692
9013693,9013693
9013694,9013694
9013695,9013695
9013697,9013697
9013698,9013698
9013699,9013699
9013701,9013701
9013702,9013702
9013703,9013703
9013704,9013704
9013705,9013705
9013706,9013706
9013707,9013707
9013708,9013708
9013709,9013709
9013710,9013710
9013711,9013711
9013712,9013712
9013713,9013713
9013714,9013714
9013715,9013715
9013716,9013716
9013717,9013717
9013718,9013718
9013719,9013719
9013720,9013720
9013721,9013721
9013722,9013722
9013723,9013723
9013724,9013724
9013725,9013725
9013727,9013727
9013728,9013728
9013729,9013729
9013730,9013730
9013731,9013731
9013732,9013732
9013733,9013733
9013734,9013734
9013735,9013735
9013736,9013736
9013737,9013737
9013738,9013738
9013739,9013739
9013740,9013740
9013741,9013741
9013742,9013742
9013743,9013743
9013744,9013744
9013744,9013744
9013744,9013744
9013744,9013744
9013744,9013744
9013744,9013744
9013744,9013744
9013744,9013744
9013744,9013744
9013744,9013744
9013744,9013744
9013744,9013744
9013744,9013744
9013744,9013744
9013744,9013744
9013744,9013744
9013746,9013746
9013747,9013747
9013749,9013749
9013750,9013750
9013751,9013751
9013752,9013752
9013753,9013753
9013754,9013754
9013755,9013755
9013756,9013756
9013757,9013757
9013758,9013758
9013759,9013759
9013760,9013760
9013761,9013761
9013762,9013762
9013763,9013763
9013764,9013764
9013765,9013765
9013766,9013766
9013767,9013767
9013768,9013768
9013769,9013769
9013770,9013770
9013771,9013771
9013772,9013772
9013773,9013773
9013776,9013776
9013777,9013777
9013778,9013778
9013779,9013779
9013780,9013780
9013781,9013781
9013782,9013782
9013783,9013783
9013785,9013785
9013786,9013786
9013788,9013788
9013789,9013789
9013791,9013791
9013793,9013793
9013794,9013794
9013795,9013795
9013796,9013796
9013797,9013797
9013798,9013798
9013799,9013799
9013800,9013800
9013802,9013802
9013803,9013803
9013804,9013804
9013805,9013805
9013806,9013806
9013807,9013807
9013808,9013808
9013809,9013809
9013810,9013810
9013811,9013811
9013812,9013812
9013813,9013813
9013814,9013814
9013816,9013816
9013817,9013817
9013818,9013818
9013819,9013819
9013820,9013820
9013821,9013821
9013822,9013822
9013823,9013823
9013824,9013824
9013826,9013826
9013827,9013827
9013828,9013828
